순위,책이름,저자,출판사,가격
1,트렌드 코리아 2026,"김난도, 전미영, 최지혜, 권정윤, 한다혜 저 외 7명",미래의창,"18,000원"
2,처음 만나는 양자의 세계,채은미 저,북플레저,"17,100원"
3,대형주 추세추종 투자법칙,이종호(전황) 저,사피엔테스,"19,800원"
4,위버멘쉬,프리드리히 니체 저,떠오름,"16,020원"
5,박곰희 연금 부자 수업,박곰희 저,인플루엔셜,"18,900원"
6,주식 투자의 뿌리,박두환 저,애덤스미스,"19,800원"
7,절창 切創,구병모 저,문학동네,"16,200원"
8,다크 심리학,다크 사이드 프로젝트 저,어센딩,"19,710원"
9,단 한 줄만 내 마음에 새긴다고 해도,나민애 저,포레스트북스,"21,420원"
10,어른의 행복은 조용하다,태수 저,페이지2북스,"16,020원"
11,머니 트렌드 2026,"김도윤, 정태익, 김광석, 김승주, 김용섭 저 외 3명",북모먼트,"23,400원"
12,어스탐 경의 임사전언,이영도 저,황금가지,"18,000원"
13,호의에 대하여,문형배 저,김영사,"16,920원"
14,렛뎀 이론,멜 로빈스 저/윤효원 역,비즈니스북스,"18,000원"
15,기분이 태도가 되지 않게 (헬로키티 에디션),레몬심리 저/박영란 역,갤리온,"16,200원"
16,혼모노,성해나 저,창비,"16,200원"
17,미야옹 마음 분식점 1 : 좀비 개가 나타나는 골목,주미 글/안병현 그림,지구별아이,"13,320원"
18,손자병법,손자 저/소준섭 역,현대지성,"11,700원"
19,결국 너의 시간은 온다,염경엽 저,웅진지식하우스,"17,100원"
20,스토너,존 윌리엄스 저/김승욱 역,알에이치코리아(RHK),"15,120원"
21,모순,양귀자 저,쓰다,"11,700원"
22,ETF 투자의 모든 것,문일호 저,매일경제신문사,"18,900원"
23,사이언스 2026,"내셔널지오그래픽 키즈 글/이한음, 김아림 역",비룡소,"25,200원"
24,그 비스크 돌은 사랑을 한다 15 한정판,후쿠다 신이치 글그림/박연지 역,소미미디어,"25,200원"
