지역명,규모구분,연도,월,분양가격(제곱미터),평당분양가격
서울,모든면적,2015,10,5841.0,19275.3
서울,전용면적 60제곱미터이하,2015,10,5652.0,18651.6
서울,전용면적 60제곱미터초과 85제곱미터이하,2015,10,5882.0,19410.6
서울,전용면적 85제곱미터초과 102제곱미터이하,2015,10,5721.0,18879.3
서울,전용면적 102제곱미터초과,2015,10,5879.0,19400.7
인천,모든면적,2015,10,3163.0,10437.9
인천,전용면적 60제곱미터이하,2015,10,3488.0,11510.4
인천,전용면적 60제곱미터초과 85제곱미터이하,2015,10,3119.0,10292.699999999999
인천,전용면적 85제곱미터초과 102제곱미터이하,2015,10,3545.0,11698.5
인천,전용면적 102제곱미터초과,2015,10,3408.0,11246.4
경기,모든면적,2015,10,3138.0,10355.4
경기,전용면적 60제곱미터이하,2015,10,3126.0,10315.8
경기,전용면적 60제곱미터초과 85제곱미터이하,2015,10,3239.0,10688.699999999999
경기,전용면적 85제곱미터초과 102제곱미터이하,2015,10,3496.0,11536.8
경기,전용면적 102제곱미터초과,2015,10,3680.0,12144.0
부산,모든면적,2015,10,3112.0,10269.599999999999
부산,전용면적 60제곱미터이하,2015,10,2950.0,9735.0
부산,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2999.0,9896.699999999999
부산,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2957.0,9758.1
부산,전용면적 102제곱미터초과,2015,10,3500.0,11550.0
대구,모든면적,2015,10,2682.0,8850.6
대구,전용면적 60제곱미터이하,2015,10,2614.0,8626.199999999999
대구,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2696.0,8896.8
대구,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2557.0,8438.1
대구,전용면적 102제곱미터초과,2015,10,2598.0,8573.4
광주,모든면적,2015,10,2420.0,7986.0
광주,전용면적 60제곱미터이하,2015,10,2253.0,7434.9
광주,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2439.0,8048.7
광주,전용면적 85제곱미터초과 102제곱미터이하,2015,10,,
광주,전용면적 102제곱미터초과,2015,10,,
대전,모든면적,2015,10,2454.0,8098.2
대전,전용면적 60제곱미터이하,2015,10,2585.0,8530.5
대전,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2428.0,8012.4
대전,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2461.0,8121.299999999999
대전,전용면적 102제곱미터초과,2015,10,,
울산,모든면적,2015,10,3053.0,10074.9
울산,전용면적 60제곱미터이하,2015,10,2422.0,7992.599999999999
울산,전용면적 60제곱미터초과 85제곱미터이하,2015,10,3040.0,10032.0
울산,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2951.0,9738.3
울산,전용면적 102제곱미터초과,2015,10,2690.0,8877.0
세종,모든면적,2015,10,2642.0,8718.6
세종,전용면적 60제곱미터이하,2015,10,2572.0,8487.6
세종,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2657.0,8768.1
세종,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2644.0,8725.199999999999
세종,전용면적 102제곱미터초과,2015,10,2692.0,8883.6
강원,모든면적,2015,10,2167.0,7151.099999999999
강원,전용면적 60제곱미터이하,2015,10,2286.0,7543.799999999999
강원,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2212.0,7299.599999999999
강원,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2061.0,6801.299999999999
강원,전용면적 102제곱미터초과,2015,10,2171.0,7164.299999999999
충북,모든면적,2015,10,2032.0,6705.599999999999
충북,전용면적 60제곱미터이하,2015,10,1919.0,6332.7
충북,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2033.0,6708.9
충북,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2102.0,6936.599999999999
충북,전용면적 102제곱미터초과,2015,10,2369.0,7817.7
충남,모든면적,2015,10,2099.0,6926.7
충남,전용면적 60제곱미터이하,2015,10,2206.0,7279.799999999999
충남,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2101.0,6933.299999999999
충남,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2743.0,9051.9
충남,전용면적 102제곱미터초과,2015,10,2442.0,8058.599999999999
전북,모든면적,2015,10,2054.0,6778.2
전북,전용면적 60제곱미터이하,2015,10,2127.0,7019.099999999999
전북,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2056.0,6784.799999999999
전북,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2377.0,7844.099999999999
전북,전용면적 102제곱미터초과,2015,10,2250.0,7425.0
전남,모든면적,2015,10,1925.0,6352.5
전남,전용면적 60제곱미터이하,2015,10,1999.0,6596.7
전남,전용면적 60제곱미터초과 85제곱미터이하,2015,10,1922.0,6342.599999999999
전남,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2262.0,7464.599999999999
전남,전용면적 102제곱미터초과,2015,10,2292.0,7563.599999999999
경북,모든면적,2015,10,2148.0,7088.4
경북,전용면적 60제곱미터이하,2015,10,2204.0,7273.2
경북,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2145.0,7078.5
경북,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2308.0,7616.4
경북,전용면적 102제곱미터초과,2015,10,2222.0,7332.599999999999
경남,모든면적,2015,10,2291.0,7560.299999999999
경남,전용면적 60제곱미터이하,2015,10,2239.0,7388.7
경남,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2305.0,7606.5
경남,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2890.0,9537.0
경남,전용면적 102제곱미터초과,2015,10,3014.0,9946.199999999999
제주,모든면적,2015,10,2232.0,7365.599999999999
제주,전용면적 60제곱미터이하,2015,10,,
제주,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2225.0,7342.5
제주,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2583.0,8523.9
제주,전용면적 102제곱미터초과,2015,10,2574.0,8494.199999999999
서울,모든면적,2015,11,6050.0,19965.0
서울,전용면적 60제곱미터이하,2015,11,6320.0,20856.0
서울,전용면적 60제곱미터초과 85제곱미터이하,2015,11,5964.0,19681.2
서울,전용면적 85제곱미터초과 102제곱미터이하,2015,11,7092.0,23403.6
서울,전용면적 102제곱미터초과,2015,11,6551.0,21618.3
인천,모든면적,2015,11,3184.0,10507.199999999999
인천,전용면적 60제곱미터이하,2015,11,3328.0,10982.4
인천,전용면적 60제곱미터초과 85제곱미터이하,2015,11,3119.0,10292.699999999999
인천,전용면적 85제곱미터초과 102제곱미터이하,2015,11,3545.0,11698.5
인천,전용면적 102제곱미터초과,2015,11,3408.0,11246.4
경기,모든면적,2015,11,3098.0,10223.4
경기,전용면적 60제곱미터이하,2015,11,3079.0,10160.699999999999
경기,전용면적 60제곱미터초과 85제곱미터이하,2015,11,3202.0,10566.599999999999
경기,전용면적 85제곱미터초과 102제곱미터이하,2015,11,3391.0,11190.3
경기,전용면적 102제곱미터초과,2015,11,3724.0,12289.199999999999
부산,모든면적,2015,11,3131.0,10332.3
부산,전용면적 60제곱미터이하,2015,11,2982.0,9840.6
부산,전용면적 60제곱미터초과 85제곱미터이하,2015,11,3037.0,10022.1
부산,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2957.0,9758.1
부산,전용면적 102제곱미터초과,2015,11,3739.0,12338.699999999999
대구,모든면적,2015,11,2749.0,9071.699999999999
대구,전용면적 60제곱미터이하,2015,11,2503.0,8259.9
대구,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2806.0,9259.8
대구,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2557.0,8438.1
대구,전용면적 102제곱미터초과,2015,11,2743.0,9051.9
광주,모든면적,2015,11,2424.0,7999.2
광주,전용면적 60제곱미터이하,2015,11,2251.0,7428.299999999999
광주,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2444.0,8065.2
광주,전용면적 85제곱미터초과 102제곱미터이하,2015,11,,
광주,전용면적 102제곱미터초과,2015,11,,
대전,모든면적,2015,11,2454.0,8098.2
대전,전용면적 60제곱미터이하,2015,11,2585.0,8530.5
대전,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2428.0,8012.4
대전,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2461.0,8121.299999999999
대전,전용면적 102제곱미터초과,2015,11,,
울산,모든면적,2015,11,3043.0,10041.9
울산,전용면적 60제곱미터이하,2015,11,2584.0,8527.199999999999
울산,전용면적 60제곱미터초과 85제곱미터이하,2015,11,3048.0,10058.4
울산,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2663.0,8787.9
울산,전용면적 102제곱미터초과,2015,11,2874.0,9484.199999999999
세종,모든면적,2015,11,2648.0,8738.4
세종,전용면적 60제곱미터이하,2015,11,2572.0,8487.6
세종,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2666.0,8797.8
세종,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2644.0,8725.199999999999
세종,전용면적 102제곱미터초과,2015,11,2749.0,9071.699999999999
강원,모든면적,2015,11,2171.0,7164.299999999999
강원,전용면적 60제곱미터이하,2015,11,2292.0,7563.599999999999
강원,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2193.0,7236.9
강원,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2061.0,6801.299999999999
강원,전용면적 102제곱미터초과,2015,11,2171.0,7164.299999999999
충북,모든면적,2015,11,2004.0,6613.2
충북,전용면적 60제곱미터이하,2015,11,1921.0,6339.299999999999
충북,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2015.0,6649.5
충북,전용면적 85제곱미터초과 102제곱미터이하,2015,11,1868.0,6164.4
충북,전용면적 102제곱미터초과,2015,11,2277.0,7514.099999999999
충남,모든면적,2015,11,2100.0,6930.0
충남,전용면적 60제곱미터이하,2015,11,2214.0,7306.2
충남,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2105.0,6946.5
충남,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2523.0,8325.9
충남,전용면적 102제곱미터초과,2015,11,2468.0,8144.4
전북,모든면적,2015,11,2057.0,6788.099999999999
전북,전용면적 60제곱미터이하,2015,11,2129.0,7025.7
전북,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2057.0,6788.099999999999
전북,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2377.0,7844.099999999999
전북,전용면적 102제곱미터초과,2015,11,2282.0,7530.599999999999
전남,모든면적,2015,11,1909.0,6299.7
전남,전용면적 60제곱미터이하,2015,11,1999.0,6596.7
전남,전용면적 60제곱미터초과 85제곱미터이하,2015,11,1906.0,6289.799999999999
전남,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2262.0,7464.599999999999
전남,전용면적 102제곱미터초과,2015,11,2176.0,7180.799999999999
경북,모든면적,2015,11,2190.0,7227.0
경북,전용면적 60제곱미터이하,2015,11,2210.0,7293.0
경북,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2186.0,7213.799999999999
경북,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2516.0,8302.8
경북,전용면적 102제곱미터초과,2015,11,2370.0,7821.0
경남,모든면적,2015,11,2298.0,7583.4
경남,전용면적 60제곱미터이하,2015,11,2200.0,7260.0
경남,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2322.0,7662.599999999999
경남,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2980.0,9834.0
경남,전용면적 102제곱미터초과,2015,11,3043.0,10041.9
제주,모든면적,2015,11,2232.0,7365.599999999999
제주,전용면적 60제곱미터이하,2015,11,,
제주,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2225.0,7342.5
제주,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2583.0,8523.9
제주,전용면적 102제곱미터초과,2015,11,2574.0,8494.199999999999
서울,모든면적,2015,12,6041.0,19935.3
서울,전용면적 60제곱미터이하,2015,12,6321.0,20859.3
서울,전용면적 60제곱미터초과 85제곱미터이하,2015,12,5966.0,19687.8
서울,전용면적 85제곱미터초과 102제곱미터이하,2015,12,6513.0,21492.899999999998
서울,전용면적 102제곱미터초과,2015,12,6551.0,21618.3
인천,모든면적,2015,12,3184.0,10507.199999999999
인천,전용면적 60제곱미터이하,2015,12,3328.0,10982.4
인천,전용면적 60제곱미터초과 85제곱미터이하,2015,12,3119.0,10292.699999999999
인천,전용면적 85제곱미터초과 102제곱미터이하,2015,12,3545.0,11698.5
인천,전용면적 102제곱미터초과,2015,12,3408.0,11246.4
경기,모든면적,2015,12,3198.0,10553.4
경기,전용면적 60제곱미터이하,2015,12,3293.0,10866.9
경기,전용면적 60제곱미터초과 85제곱미터이하,2015,12,3314.0,10936.199999999999
경기,전용면적 85제곱미터초과 102제곱미터이하,2015,12,3449.0,11381.699999999999
경기,전용면적 102제곱미터초과,2015,12,3850.0,12705.0
부산,모든면적,2015,12,3127.0,10319.099999999999
부산,전용면적 60제곱미터이하,2015,12,2951.0,9738.3
부산,전용면적 60제곱미터초과 85제곱미터이하,2015,12,3032.0,10005.6
부산,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2957.0,9758.1
부산,전용면적 102제곱미터초과,2015,12,3739.0,12338.699999999999
대구,모든면적,2015,12,2962.0,9774.6
대구,전용면적 60제곱미터이하,2015,12,3282.0,10830.599999999999
대구,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2971.0,9804.3
대구,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2532.0,8355.6
대구,전용면적 102제곱미터초과,2015,12,2743.0,9051.9
광주,모든면적,2015,12,2476.0,8170.799999999999
광주,전용면적 60제곱미터이하,2015,12,2395.0,7903.5
광주,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2489.0,8213.699999999999
광주,전용면적 85제곱미터초과 102제곱미터이하,2015,12,,
광주,전용면적 102제곱미터초과,2015,12,,
대전,모든면적,2015,12,2454.0,8098.2
대전,전용면적 60제곱미터이하,2015,12,2585.0,8530.5
대전,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2428.0,8012.4
대전,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2461.0,8121.299999999999
대전,전용면적 102제곱미터초과,2015,12,,
울산,모든면적,2015,12,3043.0,10041.9
울산,전용면적 60제곱미터이하,2015,12,2584.0,8527.199999999999
울산,전용면적 60제곱미터초과 85제곱미터이하,2015,12,3048.0,10058.4
울산,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2663.0,8787.9
울산,전용면적 102제곱미터초과,2015,12,2874.0,9484.199999999999
세종,모든면적,2015,12,2665.0,8794.5
세종,전용면적 60제곱미터이하,2015,12,2601.0,8583.3
세종,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2676.0,8830.8
세종,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2661.0,8781.3
세종,전용면적 102제곱미터초과,2015,12,2752.0,9081.6
강원,모든면적,2015,12,2171.0,7164.299999999999
강원,전용면적 60제곱미터이하,2015,12,2292.0,7563.599999999999
강원,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2193.0,7236.9
강원,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2061.0,6801.299999999999
강원,전용면적 102제곱미터초과,2015,12,2171.0,7164.299999999999
충북,모든면적,2015,12,2005.0,6616.5
충북,전용면적 60제곱미터이하,2015,12,1941.0,6405.299999999999
충북,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2017.0,6656.099999999999
충북,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2276.0,7510.799999999999
충북,전용면적 102제곱미터초과,2015,12,2261.0,7461.299999999999
충남,모든면적,2015,12,2269.0,7487.7
충남,전용면적 60제곱미터이하,2015,12,2438.0,8045.4
충남,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2279.0,7520.7
충남,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2523.0,8325.9
충남,전용면적 102제곱미터초과,2015,12,2444.0,8065.2
전북,모든면적,2015,12,1983.0,6543.9
전북,전용면적 60제곱미터이하,2015,12,1925.0,6352.5
전북,전용면적 60제곱미터초과 85제곱미터이하,2015,12,1987.0,6557.099999999999
전북,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2377.0,7844.099999999999
전북,전용면적 102제곱미터초과,2015,12,2282.0,7530.599999999999
전남,모든면적,2015,12,1909.0,6299.7
전남,전용면적 60제곱미터이하,2015,12,1999.0,6596.7
전남,전용면적 60제곱미터초과 85제곱미터이하,2015,12,1906.0,6289.799999999999
전남,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2262.0,7464.599999999999
전남,전용면적 102제곱미터초과,2015,12,2176.0,7180.799999999999
경북,모든면적,2015,12,2181.0,7197.299999999999
경북,전용면적 60제곱미터이하,2015,12,2178.0,7187.4
경북,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2184.0,7207.2
경북,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2516.0,8302.8
경북,전용면적 102제곱미터초과,2015,12,2370.0,7821.0
경남,모든면적,2015,12,2307.0,7613.099999999999
경남,전용면적 60제곱미터이하,2015,12,2280.0,7524.0
경남,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2329.0,7685.7
경남,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2934.0,9682.199999999999
경남,전용면적 102제곱미터초과,2015,12,3019.0,9962.699999999999
제주,모든면적,2015,12,2268.0,7484.4
제주,전용면적 60제곱미터이하,2015,12,,
제주,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2260.0,7458.0
제주,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2583.0,8523.9
제주,전용면적 102제곱미터초과,2015,12,2574.0,8494.199999999999
서울,모든면적,2016,1,6108.0,20156.399999999998
서울,전용면적 60제곱미터이하,2016,1,6427.0,21209.1
서울,전용면적 60제곱미터초과 85제곱미터이하,2016,1,6036.0,19918.8
서울,전용면적 85제곱미터초과 102제곱미터이하,2016,1,6513.0,21492.899999999998
서울,전용면적 102제곱미터초과,2016,1,6551.0,21618.3
인천,모든면적,2016,1,3191.0,10530.3
인천,전용면적 60제곱미터이하,2016,1,3328.0,10982.4
인천,전용면적 60제곱미터초과 85제곱미터이하,2016,1,3110.0,10263.0
인천,전용면적 85제곱미터초과 102제곱미터이하,2016,1,3545.0,11698.5
인천,전용면적 102제곱미터초과,2016,1,3408.0,11246.4
경기,모든면적,2016,1,3198.0,10553.4
경기,전용면적 60제곱미터이하,2016,1,3293.0,10866.9
경기,전용면적 60제곱미터초과 85제곱미터이하,2016,1,3313.0,10932.9
경기,전용면적 85제곱미터초과 102제곱미터이하,2016,1,3450.0,11385.0
경기,전용면적 102제곱미터초과,2016,1,3850.0,12705.0
부산,모든면적,2016,1,3152.0,10401.599999999999
부산,전용면적 60제곱미터이하,2016,1,2951.0,9738.3
부산,전용면적 60제곱미터초과 85제곱미터이하,2016,1,3057.0,10088.1
부산,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2957.0,9758.1
부산,전용면적 102제곱미터초과,2016,1,3812.0,12579.599999999999
대구,모든면적,2016,1,3086.0,10183.8
대구,전용면적 60제곱미터이하,2016,1,3341.0,11025.3
대구,전용면적 60제곱미터초과 85제곱미터이하,2016,1,3103.0,10239.9
대구,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2532.0,8355.6
대구,전용면적 102제곱미터초과,2016,1,2743.0,9051.9
광주,모든면적,2016,1,2569.0,8477.699999999999
광주,전용면적 60제곱미터이하,2016,1,2395.0,7903.5
광주,전용면적 60제곱미터초과 85제곱미터이하,2016,1,2582.0,8520.6
광주,전용면적 85제곱미터초과 102제곱미터이하,2016,1,,
광주,전용면적 102제곱미터초과,2016,1,,
대전,모든면적,2016,1,2454.0,8098.2
대전,전용면적 60제곱미터이하,2016,1,2585.0,8530.5
대전,전용면적 60제곱미터초과 85제곱미터이하,2016,1,2428.0,8012.4
대전,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2461.0,8121.299999999999
대전,전용면적 102제곱미터초과,2016,1,,
울산,모든면적,2016,1,3046.0,10051.8
울산,전용면적 60제곱미터이하,2016,1,2584.0,8527.199999999999
울산,전용면적 60제곱미터초과 85제곱미터이하,2016,1,3053.0,10074.9
울산,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2663.0,8787.9
울산,전용면적 102제곱미터초과,2016,1,2874.0,9484.199999999999
세종,모든면적,2016,1,2665.0,8794.5
세종,전용면적 60제곱미터이하,2016,1,2601.0,8583.3
세종,전용면적 60제곱미터초과 85제곱미터이하,2016,1,2676.0,8830.8
세종,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2661.0,8781.3
세종,전용면적 102제곱미터초과,2016,1,2752.0,9081.6
강원,모든면적,2016,1,2173.0,7170.9
강원,전용면적 60제곱미터이하,2016,1,2290.0,7557.0
강원,전용면적 60제곱미터초과 85제곱미터이하,2016,1,2199.0,7256.7
강원,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2061.0,6801.299999999999
강원,전용면적 102제곱미터초과,2016,1,2171.0,7164.299999999999
충북,모든면적,2016,1,2008.0,6626.4
충북,전용면적 60제곱미터이하,2016,1,1952.0,6441.599999999999
충북,전용면적 60제곱미터초과 85제곱미터이하,2016,1,2021.0,6669.299999999999
충북,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2276.0,7510.799999999999
충북,전용면적 102제곱미터초과,2016,1,2261.0,7461.299999999999
충남,모든면적,2016,1,2270.0,7491.0
충남,전용면적 60제곱미터이하,2016,1,2481.0,8187.299999999999
충남,전용면적 60제곱미터초과 85제곱미터이하,2016,1,2281.0,7527.299999999999
충남,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2541.0,8385.3
충남,전용면적 102제곱미터초과,2016,1,2444.0,8065.2
