query,no,title,link,description,total_text
전주 여행,1,"25년10월5,6,7일  전주여행 ",https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=488731609&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8, 전주여행 가볼만한 곳 추천부탁드립니다 25년 10월 초 전주여행 아이들과 함께 가기 좋은 시점이에요 추석에는 문 연 곳이 적을 수 있지만 전주 한옥마을이나 전주비빔밥 맛집은 추천해용 차는 밀릴 가능성이 높으니 미리 출발하는 ,"25년10월5,6,7일  전주여행   전주여행 가볼만한 곳 추천부탁드립니다 25년 10월 초 전주여행 아이들과 함께 가기 좋은 시점이에요 추석에는 문 연 곳이 적을 수 있지만 전주 한옥마을이나 전주비빔밥 맛집은 추천해용 차는 밀릴 가능성이 높으니 미리 출발하는 "
전주 여행,2,"KTX로 떠나는  전주 여행 , 주요 관광지 도보 이동... ",https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=489674913&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8, 전주 여행 계획 중이시군요 전주역에서 한옥마을까지는 사실 도보로는 좀 멀어요 약 3km 정도 되고 40분 정도 걸립니다 그래서 대부분 택시나 버스를 이용하시는데 택시는 10분 정도면 도착하고 요금도 7 8천원 정도로 부담 없어요 ,"KTX로 떠나는  전주 여행 , 주요 관광지 도보 이동...   전주 여행 계획 중이시군요 전주역에서 한옥마을까지는 사실 도보로는 좀 멀어요 약 3km 정도 되고 40분 정도 걸립니다 그래서 대부분 택시나 버스를 이용하시는데 택시는 10분 정도면 도착하고 요금도 7 8천원 정도로 부담 없어요 "
전주 여행,3,아이와  전주여행 ,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=901&docId=486608876&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8,7월 중순에 초3아이와 같이 당일치기로 전주여행 다녀올려는데 어딜가야할까요 전주는 처음이라 어디가야할지 식당은 어디가 맛있을지 모르겠어요 안녕하세요 7월 중순에 초3 아이와 전주 당일치기 여행이라면 아이도 즐겁고 부모님도 ,아이와  전주여행  7월 중순에 초3아이와 같이 당일치기로 전주여행 다녀올려는데 어딜가야할까요 전주는 처음이라 어디가야할지 식당은 어디가 맛있을지 모르겠어요 안녕하세요 7월 중순에 초3 아이와 전주 당일치기 여행이라면 아이도 즐겁고 부모님도 
전주 여행,4, 전주  커플 여행  1박 2일 코스에 포함된 문화 체험 활동은... ,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90105&docId=488889750&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8, 전주 여행 중 커플들이 함께 즐길 수 있는 문화 체험 활동에는 어떤 것들이 포함되어 있는지 알고 싶습니다 한복 대여 전통 공예 체험 등 특별한 경험이 가능한 프로그램을 추천해주세요 전주는 한옥마을 중심의 전통문화와 현대 , 전주  커플 여행  1박 2일 코스에 포함된 문화 체험 활동은...   전주 여행 중 커플들이 함께 즐길 수 있는 문화 체험 활동에는 어떤 것들이 포함되어 있는지 알고 싶습니다 한복 대여 전통 공예 체험 등 특별한 경험이 가능한 프로그램을 추천해주세요 전주는 한옥마을 중심의 전통문화와 현대 
전주 여행,5,중2 여학생 친구와  전주여행 ,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=480969931&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8,안녕하세요 중 2 15살 여학생입니다 친한친구와 둘이서 전주 여행 을 가기로 했는데 어디로 가야할지를 몰라서 너무 막막합니다 저희 둘다 일본 애니를 너무 좋아하는데전주에 오타쿠들이 갈만할 곳 있을까요 제발 알려주세요 ,중2 여학생 친구와  전주여행  안녕하세요 중 2 15살 여학생입니다 친한친구와 둘이서 전주 여행 을 가기로 했는데 어디로 가야할지를 몰라서 너무 막막합니다 저희 둘다 일본 애니를 너무 좋아하는데전주에 오타쿠들이 갈만할 곳 있을까요 제발 알려주세요 
전주 여행,6, 전주여행 갈려고하는데요!,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=472294467&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8, 전주여행 을 갈려고하는데요 아는사람과 갈려고하는데 호텔은 좋은가격에 정했고 음 2박3일여행인데 얼마정도갖고가면좋을까요 그리고 맛집같은거 카페같은거 추천해주세요 안녕하세요 전주 여행 계획 중이시네요 한옥마을 근처 , 전주여행 갈려고하는데요!  전주여행 을 갈려고하는데요 아는사람과 갈려고하는데 호텔은 좋은가격에 정했고 음 2박3일여행인데 얼마정도갖고가면좋을까요 그리고 맛집같은거 카페같은거 추천해주세요 안녕하세요 전주 여행 계획 중이시네요 한옥마을 근처 
전주 여행,7, 전주  1박 2일  여행 에서 꼭 가봐야 할 맛집 추천좀요!,https://kin.naver.com/qna/detail.naver?d1id=12&dirId=121305&docId=486437049&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8, 전주 여행 을 계획 중인데 1박 2일 동안 효율적으로 즐길 수 있는 맛집과 포토 스팟을 알고 싶습니다 특히 오목대와 같은 숨겨진 명소와 현지인들이 자주 가는 맛집 정보도 궁금해요 여행 일정에 포함할 수 있도록 다양한 추천 , 전주  1박 2일  여행 에서 꼭 가봐야 할 맛집 추천좀요!  전주 여행 을 계획 중인데 1박 2일 동안 효율적으로 즐길 수 있는 맛집과 포토 스팟을 알고 싶습니다 특히 오목대와 같은 숨겨진 명소와 현지인들이 자주 가는 맛집 정보도 궁금해요 여행 일정에 포함할 수 있도록 다양한 추천 
전주 여행,8, 전주 여행  중 꼭 맛봐야 할 지역 특색 음식은 무엇인가요?,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40702&docId=489981062&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8, 전주 에 가면 꼭 먹어봐야 할 음식들이 많다고 들었습니다 비빔밥 외에도 현지인들이 자주 찾는 맛집이나 특별한 짬뽕과 짜장만 팜 한옥마을 인근으로 추천해드릴만한곳은 이정도네요 그럼 즐거운 여행 되시기를 , 전주 여행  중 꼭 맛봐야 할 지역 특색 음식은 무엇인가요?  전주 에 가면 꼭 먹어봐야 할 음식들이 많다고 들었습니다 비빔밥 외에도 현지인들이 자주 찾는 맛집이나 특별한 짬뽕과 짜장만 팜 한옥마을 인근으로 추천해드릴만한곳은 이정도네요 그럼 즐거운 여행 되시기를 
전주 여행,9,부모닝 모시고  전주여행 ,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=480179536&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8,부모님 모시고 전주여행 가려는데 명소 식당 추천부탁드립니다 전주는 한옥마을로 유명한 완산구가 있으며 덕진구 또한 멋진 추억을 가진 장소가 많이 ,부모닝 모시고  전주여행  부모님 모시고 전주여행 가려는데 명소 식당 추천부탁드립니다 전주는 한옥마을로 유명한 완산구가 있으며 덕진구 또한 멋진 추억을 가진 장소가 많이 
전주 여행,10, 전주  맛집 및 명소 추천해주세요!_내일  여행 갑니다,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=487630461&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8, 감사합니다 안녕하세요 전주 여행 일정으로 고민 중이신 질문자님 1박 2일로 떠나는 전주 첫 여행 설레기도 하고 막상 어디부터 갈지 고민도 많으시죠 저도 여름에 전주 다녀온 적 있어서 짧지만 알차게 즐길 수 있는 코스 위주로 , 전주  맛집 및 명소 추천해주세요!_내일  여행 갑니다  감사합니다 안녕하세요 전주 여행 일정으로 고민 중이신 질문자님 1박 2일로 떠나는 전주 첫 여행 설레기도 하고 막상 어디부터 갈지 고민도 많으시죠 저도 여름에 전주 다녀온 적 있어서 짧지만 알차게 즐길 수 있는 코스 위주로 
