query,no,token,pos
전주 여행,1,곳,NNG
전주 여행,1,추천,NNG
전주 여행,1,부탁,NNG
전주 여행,1,아이,NNG
전주 여행,1,시점,NNG
전주 여행,1,추석,NNG
전주 여행,1,문,NNG
전주 여행,1,연,NNG
전주 여행,1,곳,NNG
전주 여행,1,한옥마을,NNP
전주 여행,1,전주비빔밥,NNG
전주 여행,1,맛집,NNG
전주 여행,1,추천,NNG
전주 여행,1,해용,NNG
전주 여행,1,차,NNG
전주 여행,1,가능,NNG
전주 여행,1,출발,NNG
전주 여행,2,주요,NNG
전주 여행,2,관광지,NNG
전주 여행,2,도보,NNP
전주 여행,2,이동,NNP
전주 여행,2,계획,NNG
전주 여행,2,주역,NNP
전주 여행,2,한옥마을,NNP
전주 여행,2,도보,NNG
전주 여행,2,정도,NNG
전주 여행,2,정도,NNG
전주 여행,2,대부분,NNG
전주 여행,2,택시,NNG
전주 여행,2,버스,NNG
전주 여행,2,이용,NNG
전주 여행,2,택시,NNG
전주 여행,2,정도,NNG
전주 여행,2,도착,NNG
전주 여행,2,요금,NNG
전주 여행,2,정도,NNG
전주 여행,2,부담,NNG
전주 여행,3,아이,NNG
전주 여행,3,중순,NNG
전주 여행,3,아이,NNG
전주 여행,3,당일치기,NNG
전주 여행,3,처음,NNG
전주 여행,3,야,NNG
전주 여행,3,식당,NNG
전주 여행,3,중순,NNG
전주 여행,3,아이,NNG
전주 여행,3,당일치기,NNG
전주 여행,3,아이,NNG
전주 여행,3,부모,NNG
전주 여행,4,커플,NNG
전주 여행,4,코스,NNG
전주 여행,4,포함,NNG
전주 여행,4,문화,NNG
전주 여행,4,체험,NNG
전주 여행,4,활동,NNG
전주 여행,4,커플,NNG
전주 여행,4,문화,NNG
전주 여행,4,체험,NNG
전주 여행,4,활동,NNG
전주 여행,4,포함,NNG
전주 여행,4,한복,NNG
전주 여행,4,대여,NNG
전주 여행,4,전통,NNG
전주 여행,4,공예,NNG
전주 여행,4,체험,NNG
전주 여행,4,특별,NNG
전주 여행,4,경험,NNG
전주 여행,4,가능,NNG
전주 여행,4,프로그램,NNG
전주 여행,4,추천,NNG
전주 여행,4,한옥마을,NNP
전주 여행,4,중심,NNG
전주 여행,4,전통문화,NNG
전주 여행,4,현대,NNG
전주 여행,5,중,NNG
전주 여행,5,여학생,NNG
전주 여행,5,친구,NNG
전주 여행,5,안녕,NNG
전주 여행,5,여학생,NNG
전주 여행,5,친구,NNG
전주 여행,5,일본,NNP
전주 여행,5,애니,NNP
전주 여행,5,오타쿠,NNP
전주 여행,5,갈만,NNG
전주 여행,6,사람,NNG
전주 여행,6,호텔,NNG
전주 여행,6,가격,NNG
전주 여행,6,얼마,NNG
전주 여행,6,정도,NNG
전주 여행,6,맛집,NNG
전주 여행,6,카페,NNG
전주 여행,6,추천,NNG
전주 여행,6,계획,NNG
전주 여행,6,한옥,NNG
전주 여행,6,마을,NNG
전주 여행,6,근처,NNG
전주 여행,7,맛집,NNG
전주 여행,7,추천,NNG
전주 여행,7,계획,NNG
전주 여행,7,동안,NNG
전주 여행,7,효율,NNG
전주 여행,7,맛집,NNG
전주 여행,7,포토,NNG
전주 여행,7,스팟,NNG
전주 여행,7,목대,NNG
전주 여행,7,명소,NNG
전주 여행,7,현지,NNG
전주 여행,7,맛집,NNG
전주 여행,7,정보,NNG
전주 여행,7,일정,NNG
전주 여행,7,포함,NNG
전주 여행,7,추천,NNG
전주 여행,8,지역,NNG
전주 여행,8,특색,NNG
전주 여행,8,음식,NNG
전주 여행,8,음식,NNG
전주 여행,8,비빔밥,NNG
전주 여행,8,현지인,NNG
전주 여행,8,맛집,NNG
전주 여행,8,특별,NNG
전주 여행,8,짬뽕,NNG
전주 여행,8,팜,NNP
전주 여행,8,한옥,NNG
전주 여행,8,마을,NNG
전주 여행,8,인근,NNG
전주 여행,8,추천,NNG
전주 여행,8,곳,NNG
전주 여행,8,정도,NNG
전주 여행,9,부모,NNG
전주 여행,9,닝,NNP
전주 여행,9,부모,NNG
전주 여행,9,명소,NNG
전주 여행,9,식당,NNG
전주 여행,9,추천,NNG
전주 여행,9,부탁,NNG
전주 여행,9,한옥마을,NNP
전주 여행,9,완산구,NNP
전주 여행,9,덕진구,NNP
전주 여행,9,추억,NNG
전주 여행,9,장소,NNG
전주 여행,10,맛집,NNG
전주 여행,10,명소,NNG
전주 여행,10,추천,NNG
전주 여행,10,내일,NNG
전주 여행,10,감사,NNG
전주 여행,10,일정,NNG
전주 여행,10,고민,NNG
전주 여행,10,질,NNG
전주 여행,10,문자,NNG
전주 여행,10,고민,NNG
전주 여행,10,여름,NNG
전주 여행,10,코스,NNG
전주 여행,10,위주,NNG
전주 여행,11,코스,NNG
전주 여행,11,추천,NNG
전주 여행,11,영화제,NNG
전주 여행,11,기간,NNG
전주 여행,11,일정,NNG
전주 여행,11,코스,NNG
전주 여행,11,추천,NNG
전주 여행,11,주목적,NNG
전주 여행,11,전주국,NNG
전주 여행,11,영화제,NNG
전주 여행,11,곳,NNG
전주 여행,11,곳,NNG
전주 여행,11,알짜배기,NNG
전주 여행,11,추천,NNG
전주 여행,12,한옥마을,NNP
전주 여행,12,완산구,NNP
전주 여행,12,덕진구,NNP
전주 여행,12,추억,NNG
전주 여행,12,장소,NNG
전주 여행,12,완산구,NNP
전주 여행,12,덕진구,NNP
전주 여행,12,지,NNG
전주 여행,13,맛집,NNG
전주 여행,13,명소,NNG
전주 여행,13,추천,NNG
전주 여행,13,내일,NNG
전주 여행,13,추천,NNG
전주 여행,13,답,NNG
전주 여행,13,감사,NNG
전주 여행,13,계획,NNG
전주 여행,13,질,NNG
전주 여행,13,문자,NNG
전주 여행,13,한옥,NNG
전주 여행,13,마을,NNG
전주 여행,13,중심,NNG
전주 여행,13,일정,NNG
전주 여행,13,감성,NNG
전주 여행,13,기대,NNG
전주 여행,14,부모,NNG
전주 여행,14,정보,NNG
전주 여행,14,숙소,NNG
전주 여행,14,관광지,NNG
전주 여행,14,추천,NNG
전주 여행,14,부탁,NNG
전주 여행,14,맛집,NNG
전주 여행,14,국내,NNG
전주 여행,14,전,NNG
전주 여행,14,주달,NNG
전주 여행,14,봉,NNG
전주 여행,14,달,NNG
전주 여행,14,봉,NNG
전주 여행,14,티비,NNG
전주 여행,14,코스,NNG
전주 여행,14,곳,NNG
전주 여행,14,여수,NNG
전주 여행,15,대중교통,NNG
전주 여행,15,렌트카,NNG
전주 여행,15,때,NNG
전주 여행,15,차,NNG
전주 여행,15,대중교통,NNG
전주 여행,15,교통,NNG
전주 여행,15,상황,NNG
전주 여행,15,맛집,NNG
전주 여행,15,국내,NNG
전주 여행,15,전,NNG
전주 여행,15,주달,NNG
전주 여행,15,봉,NNG
전주 여행,15,달,NNG
전주 여행,15,봉,NNG
전주 여행,15,티비,NNG
전주 여행,15,코스,NNG
전주 여행,15,곳,NNG
전주 여행,15,여수,NNG
전주 여행,15,여수,NNG
전주 여행,15,제주,NNP
전주 여행,16,관련,NNG
전주 여행,16,질문,NNG
전주 여행,16,맛집,NNG
전주 여행,16,국내,NNG
전주 여행,16,전,NNG
전주 여행,16,주달,NNG
전주 여행,16,봉,NNG
전주 여행,16,달,NNG
전주 여행,16,봉,NNG
전주 여행,16,티비,NNG
전주 여행,16,코스,NNG
전주 여행,16,곳,NNG
전주 여행,16,여수,NNG
전주 여행,16,여수,NNG
전주 여행,16,제주,NNP
전주 여행,16,제주도,NNP
전주 여행,16,곳,NNG
전주 여행,16,전문,NNG
전주 여행,16,플,NNG
전주 여행,16,언서,NNG
전주 여행,16,전,NNG
전주 여행,16,주달,NNG
전주 여행,16,봉이,NNG
전주 여행,16,코스,NNG
전주 여행,16,한옥,NNG
전주 여행,16,마을,NNG
전주 여행,17,한옥마을,NNP
전주 여행,17,준비,NNG
전주 여행,17,대여,NNG
전주 여행,17,천차만별,NNG
전주 여행,17,기본,NNG
전주 여행,17,금액,NNG
전주 여행,17,시작,NNG
전주 여행,17,시간,NNG
전주 여행,17,한복,NNG
전주 여행,17,가격,NNG
전주 여행,17,맛집,NNG
전주 여행,17,국내,NNG
전주 여행,17,전,NNG
전주 여행,17,주달,NNG
전주 여행,17,봉,NNG
전주 여행,17,달,NNG
전주 여행,17,봉,NNG
전주 여행,17,티비,NNG
전주 여행,17,코스,NNG
전주 여행,17,곳,NNG
전주 여행,17,여수,NNG
전주 여행,17,여수,NNG
전주 여행,17,제주,NNP
전주 여행,18,커플,NNG
전주 여행,18,도움,NNG
전주 여행,18,남자,NNG
전주 여행,18,친구,NNG
전주 여행,18,차,NNG
전주 여행,18,이용,NNG
전주 여행,18,이용,NNG
전주 여행,18,요소,NNG
전주 여행,18,고려,NNG
전주 여행,18,교통,NNG
전주 여행,18,체증,NNG
전주 여행,18,예상,NNG
전주 여행,18,날짜,NNG
전주 여행,18,이용,NNG
전주 여행,18,남자,NNG
전주 여행,18,친구,NNG
전주 여행,18,의,NNG
전주 여행,19,가족,NNG
전주 여행,19,코스,NNG
전주 여행,19,문,NNG
전주 여행,19,맛집,NNG
전주 여행,19,국내,NNG
전주 여행,19,전,NNG
전주 여행,19,주달,NNG
전주 여행,19,봉,NNG
전주 여행,19,달,NNG
전주 여행,19,봉,NNG
전주 여행,19,티비,NNG
전주 여행,19,코스,NNG
전주 여행,19,곳,NNG
전주 여행,19,여수,NNG
전주 여행,19,여수,NNG
전주 여행,19,제주,NNP
전주 여행,19,제주도,NNP
전주 여행,19,곳,NNG
전주 여행,19,전문,NNG
전주 여행,19,플,NNG
전주 여행,19,언서,NNG
전주 여행,19,전,NNG
전주 여행,19,주달,NNG
전주 여행,19,봉이,NNG
전주 여행,19,코스,NNG
전주 여행,19,한옥,NNG
전주 여행,19,마을,NNG
전주 여행,20,남,NNG
전주 여행,20,남,NNG
전주 여행,20,여행지,NNG
전주 여행,20,맛집,NNG
전주 여행,20,추천,NNG
전주 여행,20,보리암,NNP
전주 여행,20,다랭이,NNG
전주 여행,20,굴,NNG
전주 여행,20,독일,NNP
전주 여행,20,마을,NNG
전주 여행,20,한옥마을,NNP
전주 여행,20,곳,NNG
전주 여행,20,맛집,NNG
전주 여행,20,추천,NNG
전주 여행,20,앞,NNG
전주 여행,20,말,NNG
전주 여행,20,곳,NNG
전주 여행,20,추천,NNG
전주 여행,20,맛집,NNG
전주 여행,21,경비,NNG
전주 여행,21,보통,NNG
전주 여행,21,경비,NNG
전주 여행,21,얼마,NNG
전주 여행,21,정도,NNG
전주 여행,21,숙소,NNG
전주 여행,21,질문,NNG
전주 여행,21,도움,NNG
전주 여행,21,답변,NNG
전주 여행,21,예산,NNG
전주 여행,21,내외,NNG
전주 여행,21,숙소,NNG
전주 여행,22,코스,NNG
전주 여행,22,질문,NNG
전주 여행,22,코스,NNG
전주 여행,22,전라도,NNP
전주 여행,22,맛집,NNG
전주 여행,22,국내,NNG
전주 여행,22,전,NNG
전주 여행,22,주달,NNG
전주 여행,22,봉,NNG
전주 여행,22,달,NNG
전주 여행,22,봉,NNG
전주 여행,22,티비,NNG
전주 여행,22,코스,NNG
전주 여행,22,곳,NNG
전주 여행,22,여수,NNG
전주 여행,22,여수,NNG
전주 여행,22,제주,NNP
전주 여행,22,제주도,NNP
전주 여행,22,곳,NNG
전주 여행,22,전문,NNG
전주 여행,22,플,NNG
전주 여행,22,언서,NNG
전주 여행,23,비용,NNG
전주 여행,23,얼마,NNG
전주 여행,23,비용,NNG
전주 여행,23,요소,NNG
전주 여행,23,일반,NNG
전주 여행,23,다음,NNG
전주 여행,23,항목,NNG
