token,경주빈도,전주빈도,빈도합,경주비율,전주비율
코스,447,459,906,49.34%,50.66%
추천,424,289,713,59.47%,40.53%
계획,151,64,215,70.23%,29.77%
곳,134,433,567,23.63%,76.37%
맛집,133,322,455,29.23%,70.77%
황리,132,0,132,100.00%,0.00%
길,127,0,127,100.00%,0.00%
숙소,126,61,187,67.38%,32.62%
일정,113,97,210,53.81%,46.19%
질문,98,90,188,52.13%,47.87%
부탁,90,61,151,59.60%,40.40%
지,90,5,95,94.74%,5.26%
답변,88,47,135,65.19%,34.81%
방문,87,10,97,89.69%,10.31%
차,80,61,141,56.74%,43.26%
가족,75,17,92,81.52%,18.48%
참고,68,43,111,61.26%,38.74%
카페,68,15,83,81.93%,18.07%
안녕,60,45,105,57.14%,42.86%
관련,58,32,90,64.44%,35.56%
불국사,57,0,57,100.00%,0.00%
첨성대,52,0,52,100.00%,0.00%
석굴암,50,0,50,100.00%,0.00%
월지,50,0,50,100.00%,0.00%
동궁,48,0,48,100.00%,0.00%
친구,48,75,123,39.02%,60.98%
관광지,45,27,72,62.50%,37.50%
엄마,45,0,45,100.00%,0.00%
아이,40,13,53,75.47%,24.53%
준비,40,30,70,57.14%,42.86%
택시,40,24,64,62.50%,37.50%
근처,35,30,65,53.85%,46.15%
때,35,15,50,70.00%,30.00%
버스,35,27,62,56.45%,43.55%
시간,35,25,60,58.33%,41.67%
정도,35,48,83,42.17%,57.83%
주,35,36,71,49.30%,50.70%
명소,34,32,66,51.52%,48.48%
날씨,32,1,33,96.97%,3.03%
대릉원,32,0,32,100.00%,0.00%
가능,30,35,65,46.15%,53.85%
동선,30,5,35,85.71%,14.29%
아들,30,0,30,100.00%,0.00%
야경,30,5,35,85.71%,14.29%
어머니,30,5,35,85.71%,14.29%
여자,30,15,45,66.67%,33.33%
예정,30,35,65,46.15%,53.85%
이번,30,45,75,40.00%,60.00%
분위기,28,0,28,100.00%,0.00%
아래,28,22,50,56.00%,44.00%
핫,28,0,28,100.00%,0.00%
도보,25,9,34,73.53%,26.47%
소개,25,0,25,100.00%,0.00%
식당,25,8,33,75.76%,24.24%
아빠,25,5,30,83.33%,16.67%
월드,25,0,25,100.00%,0.00%
이용,25,32,57,43.86%,56.14%
작품,25,0,25,100.00%,0.00%
장소,25,20,45,55.56%,44.44%
정보,25,29,54,46.30%,53.70%
특별,25,9,34,73.53%,26.47%
확인,25,10,35,71.43%,28.57%
비,24,5,29,82.76%,17.24%
플레이스,24,0,24,100.00%,0.00%
도움,21,25,46,45.65%,54.35%
문화,21,21,42,50.00%,50.00%
역사,21,5,26,80.77%,19.23%
가요,20,15,35,57.14%,42.86%
국립,20,5,25,80.00%,20.00%
다음,20,10,30,66.67%,33.33%
동안,20,5,25,80.00%,20.00%
루트,20,0,20,100.00%,0.00%
마음,20,0,20,100.00%,0.00%
무열왕릉,20,0,20,100.00%,0.00%
박물관,20,15,35,57.14%,42.86%
보문,20,0,20,100.00%,0.00%
시기,20,0,20,100.00%,0.00%
실패,20,0,20,100.00%,0.00%
예약,20,5,25,80.00%,20.00%
요금,20,2,22,90.91%,9.09%
인,20,19,39,51.28%,48.72%
전,20,285,305,6.56%,93.44%
주말,20,23,43,46.51%,53.49%
주요,20,2,22,90.91%,9.09%
첨부,20,7,27,74.07%,25.93%
추석,20,16,36,55.56%,44.44%
혼자,20,20,40,50.00%,50.00%
생각,18,10,28,64.29%,35.71%
채택,18,5,23,78.26%,21.74%
날,17,5,22,77.27%,22.73%
갈만,15,30,45,33.33%,66.67%
거리,15,20,35,42.86%,57.14%
경우,15,0,15,100.00%,0.00%
고민,15,10,25,60.00%,40.00%
관광,15,25,40,37.50%,62.50%
관람,15,0,15,100.00%,0.00%
교통편,15,0,15,100.00%,0.00%
기차,15,10,25,60.00%,40.00%
남산,15,0,15,100.00%,0.00%
내공,15,10,25,60.00%,40.00%
느낌,15,0,15,100.00%,0.00%
달,15,180,195,7.69%,92.31%
당일,15,20,35,42.86%,57.14%
당일치기,15,56,71,21.13%,78.87%
대중교통,15,30,45,33.33%,66.67%
리스트,15,0,15,100.00%,0.00%
문,15,16,31,48.39%,51.61%
미술관,15,5,20,75.00%,25.00%
부산,15,5,20,75.00%,25.00%
빵집,15,0,15,100.00%,0.00%
사람,15,35,50,30.00%,70.00%
서울,15,10,25,60.00%,40.00%
시내,15,0,15,100.00%,0.00%
예보,15,0,15,100.00%,0.00%
용,15,0,15,100.00%,0.00%
우양,15,0,15,100.00%,0.00%
운전,15,0,15,100.00%,0.00%
위치,15,0,15,100.00%,0.00%
저녁,15,10,25,60.00%,40.00%
전문,15,115,130,11.54%,88.46%
