iter	Passed	Remaining
0	8	8333
1	13	6807
2	18	6203
3	23	5817
4	31	6366
5	36	6098
6	41	5946
7	46	5825
8	51	5724
9	56	5618
10	65	5850
11	69	5759
12	74	5688
13	80	5665
14	85	5587
15	89	5519
16	95	5498
17	100	5466
18	104	5415
19	110	5418
20	115	5370
21	119	5333
22	124	5304
23	129	5278
24	134	5244
25	139	5208
26	144	5189
27	148	5163
28	153	5131
29	158	5116
30	163	5106
31	168	5085
32	172	5062
33	177	5050
34	182	5031
35	187	5011
36	191	4995
37	196	4981
38	201	4961
39	206	4946
40	210	4929
41	215	4915
42	220	4903
43	225	4893
44	229	4877
45	234	4863
46	238	4845
47	243	4832
48	248	4826
49	253	4815
50	258	4808
51	265	4834
52	270	4825
53	275	4827
54	280	4813
55	284	4800
56	289	4793
57	294	4784
58	298	4768
59	303	4756
60	309	4762
61	314	4755
62	318	4742
63	324	4748
64	329	4735
65	334	4729
66	339	4725
67	344	4720
68	349	4713
69	354	4705
70	358	4693
71	363	4686
72	371	4720
73	376	4711
74	380	4698
75	385	4690
76	390	4681
77	395	4672
78	403	4700
79	407	4690
80	412	4680
81	417	4668
82	421	4661
83	426	4649
84	431	4640
85	439	4671
86	444	4659
87	448	4648
88	453	4643
89	458	4633
90	463	4633
91	471	4654
92	477	4657
93	482	4655
94	488	4653
95	493	4649
96	498	4644
97	505	4653
98	510	4649
99	516	4644
100	521	4643
101	527	4642
102	532	4639
103	538	4638
104	543	4634
105	549	4630
106	554	4624
107	558	4614
108	563	4604
109	568	4597
110	573	4591
111	577	4580
112	582	4570
113	587	4563
114	591	4554
115	596	4544
116	601	4537
117	605	4528
118	610	4518
119	614	4508
120	619	4503
121	625	4498
122	629	4490
123	638	4510
124	642	4500
125	647	4490
126	652	4486
127	657	4475
128	661	4466
129	666	4459
130	671	4451
131	675	4441
132	680	4433
133	685	4429
134	690	4422
135	694	4414
136	700	4411
137	704	4403
138	709	4395
139	714	4389
140	719	4383
141	724	4374
142	728	4366
143	733	4359
144	738	4352
145	742	4344
146	747	4337
147	752	4331
148	757	4323
149	761	4315
150	766	4310
151	771	4301
152	775	4294
153	780	4285
154	784	4277
155	789	4271
156	793	4263
157	798	4257
158	803	4251
159	808	4244
160	812	4236
161	817	4228
162	821	4220
163	826	4213
164	833	4218
165	838	4210
166	843	4206
167	848	4202
168	853	4195
169	857	4187
170	862	4181
171	867	4175
172	871	4167
173	876	4159
174	881	4155
175	886	4148
176	890	4140
177	895	4134
178	900	4132
179	905	4125
180	910	4117
181	915	4112
182	919	4105
183	924	4100
184	929	4093
185	934	4087
186	940	4090
187	946	4086
188	950	4079
189	955	4071
190	959	4064
191	964	4059
192	969	4052
193	973	4045
194	978	4039
195	983	4033
196	988	4027
197	992	4021
198	997	4014
199	1002	4008
200	1006	4001
201	1011	3995
202	1015	3988
203	1020	3981
204	1025	3975
205	1032	3978
206	1036	3970
207	1041	3967
208	1046	3962
209	1051	3955
210	1056	3948
211	1061	3946
212	1066	3939
213	1071	3934
214	1076	3930
215	1081	3926
216	1086	3919
217	1090	3913
218	1096	3910
219	1101	3903
220	1105	3897
221	1110	3892
222	1115	3885
223	1119	3878
224	1124	3871
225	1128	3865
226	1133	3859
227	1137	3853
228	1145	3858
229	1150	3851
230	1154	3844
231	1160	3841
232	1165	3835
233	1174	3846
234	1179	3840
235	1184	3833
236	1188	3827
237	1193	3821
238	1197	3814
